"","Region","Modification","Proportion","Tissue","axisGroup","Expression","SampleSize"
"319","Downstream","H4K8ac",0,"control1_leaves",120,"Low Expression",109
"320","DownstreamIntergenic","H4K8ac",0,"control1_leaves",140,"Low Expression",109
"321","UpstreamIntergenic","H3-1",0,"control1_leaves",-60,"Low Expression",109
"322","Promotor1000","H3-1",0,"control1_leaves",-40,"Low Expression",109
"323","Promotor500","H3-1",0,"control1_leaves",-20,"Low Expression",109
"324","Gene20","H3-1",0,"control1_leaves",20,"Low Expression",109
"325","Gene40","H3-1",0,"control1_leaves",40,"Low Expression",109
"326","Gene60","H3-1",0,"control1_leaves",60,"Low Expression",109
"327","Gene80","H3-1",0,"control1_leaves",80,"Low Expression",109
"328","Gene100","H3-1",0,"control1_leaves",100,"Low Expression",109
"329","Downstream","H3-1",0,"control1_leaves",120,"Low Expression",109
"330","DownstreamIntergenic","H3-1",0,"control1_leaves",140,"Low Expression",109
"331","UpstreamIntergenic","H3K9ac",0.00246753706869191,"control1_leaves",-60,"Low Expression",109
"332","Promotor1000","H3K9ac",0.0539449541284404,"control1_leaves",-40,"Low Expression",109
"333","Promotor500","H3K9ac",0.159908256880734,"control1_leaves",-20,"Low Expression",109
"334","Gene20","H3K9ac",0.574526866628477,"control1_leaves",20,"Low Expression",109
"335","Gene40","H3K9ac",0.369347733620528,"control1_leaves",40,"Low Expression",109
"336","Gene60","H3K9ac",0.235355175692809,"control1_leaves",60,"Low Expression",109
"337","Gene80","H3K9ac",0.147915956741792,"control1_leaves",80,"Low Expression",109
"338","Gene100","H3K9ac",0.0542427659038057,"control1_leaves",100,"Low Expression",109
"339","Downstream","H3K9ac",0.045045871559633,"control1_leaves",120,"Low Expression",109
"340","DownstreamIntergenic","H3K9ac",0.00917431192660551,"control1_leaves",140,"Low Expression",109
"341","UpstreamIntergenic","H4K12ac",0,"control1_leaves",-60,"Low Expression",109
"342","Promotor1000","H4K12ac",0,"control1_leaves",-40,"Low Expression",109
"343","Promotor500","H4K12ac",0,"control1_leaves",-20,"Low Expression",109
"344","Gene20","H4K12ac",0,"control1_leaves",20,"Low Expression",109
"345","Gene40","H4K12ac",0,"control1_leaves",40,"Low Expression",109
"346","Gene60","H4K12ac",0,"control1_leaves",60,"Low Expression",109
"347","Gene80","H4K12ac",0,"control1_leaves",80,"Low Expression",109
"348","Gene100","H4K12ac",0,"control1_leaves",100,"Low Expression",109
"349","Downstream","H4K12ac",0,"control1_leaves",120,"Low Expression",109
"350","DownstreamIntergenic","H4K12ac",0,"control1_leaves",140,"Low Expression",109
"351","UpstreamIntergenic","H3K27me1",0.0161315892354194,"control1_leaves",-60,"Low Expression",109
"352","Promotor1000","H3K27me1",0.0764311926605505,"control1_leaves",-40,"Low Expression",109
